category,item,common_name
Dairy,Dairy_item_1,Dairy Product 1
Dairy,Dairy_item_2,Dairy Product 2
Dairy,Dairy_item_3,Dairy Product 3
Dairy,Dairy_item_4,Dairy Product 4
Dairy,Dairy_item_5,Dairy Product 5
Meat,Meat_item_1,Meat Product 1
Meat,Meat_item_2,Meat Product 2
Meat,Meat_item_3,Meat Product 3
Meat,Meat_item_4,Meat Product 4
Meat,Meat_item_5,Meat Product 5
Fish,Fish_item_1,Fish Product 1
Fish,Fish_item_2,Fish Product 2
Fish,Fish_item_3,Fish Product 3
Fish,Fish_item_4,Fish Product 4
Fish,Fish_item_5,Fish Product 5
Vegetables,Vegetables_item_1,Vegetables Product 1
Vegetables,Vegetables_item_2,Vegetables Product 2
Vegetables,Vegetables_item_3,Vegetables Product 3
Vegetables,Vegetables_item_4,Vegetables Product 4
Vegetables,Vegetables_item_5,Vegetables Product 5
Fruits,Fruits_item_1,Fruits Product 1
Fruits,Fruits_item_2,Fruits Product 2
Fruits,Fruits_item_3,Fruits Product 3
Fruits,Fruits_item_4,Fruits Product 4
Fruits,Fruits_item_5,Fruits Product 5
Bakery,Bakery_item_1,Bakery Product 1
Bakery,Bakery_item_2,Bakery Product 2
Bakery,Bakery_item_3,Bakery Product 3
Bakery,Bakery_item_4,Bakery Product 4
Bakery,Bakery_item_5,Bakery Product 5
Pantry,Pantry_item_1,Pantry Product 1
Pantry,Pantry_item_2,Pantry Product 2
Pantry,Pantry_item_3,Pantry Product 3
Pantry,Pantry_item_4,Pantry Product 4
Pantry,Pantry_item_5,Pantry Product 5
Frozen,Frozen_item_1,Frozen Product 1
Frozen,Frozen_item_2,Frozen Product 2
Frozen,Frozen_item_3,Frozen Product 3
Frozen,Frozen_item_4,Frozen Product 4
Frozen,Frozen_item_5,Frozen Product 5
Beverages,Beverages_item_1,Beverages Product 1
Beverages,Beverages_item_2,Beverages Product 2
Beverages,Beverages_item_3,Beverages Product 3
Beverages,Beverages_item_4,Beverages Product 4
Beverages,Beverages_item_5,Beverages Product 5
Snacks,Snacks_item_1,Snacks Product 1
Snacks,Snacks_item_2,Snacks Product 2
Snacks,Snacks_item_3,Snacks Product 3
Snacks,Snacks_item_4,Snacks Product 4
Snacks,Snacks_item_5,Snacks Product 5
